"Reference","Value","Datasheet","Footprint","Qty","DNP","Описание"
"C1,C2,C3,C4,C5,C7,C11,C13,C14,C17,C22,C23","0.1 uF 16V","","Capacitor_SMD:C_0805_2012Metric","12","",""
"C6","10 uF 16V","","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","1","",""
"C8","220 uF 50V Low ESR","","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm","1","",""
"C9,C21","0.1 uF 50V","","Capacitor_SMD:C_0805_2012Metric","2","",""
"C10","10 uF 10V","","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","1","",""
"C12","150 uF 16V","","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm","1","",""
"C15","150 uF 10V","","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","1","",""
"C16","0.1 uF 10V","","Capacitor_SMD:C_0805_2012Metric","1","",""
"C18,C19","1 nF 16V","","Capacitor_SMD:C_0805_2012Metric","2","",""
"C20","1000 uF 50V","","Capacitor_THT:CP_Radial_D8.0mm_P3.50mm","1","",""
"D1","20SQ045","http://www.vishay.com/docs/88526/1n5820.pdf","Diode_THT:D_DO-201AD_P15.24mm_Horizontal","1","",""
"D2","1N5819","http://www.vishay.com/docs/88525/1n5817.pdf","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","1","",""
"D3","SMCJ26A","https://www.vishay.com/docs/88303/15smc.pdf","Diode_SMD:D_SMC","1","","1500W unidirectional TVS diode, SMC (DO-201AB)"
"D4,D5","LL4148","http://www.vishay.com/docs/85557/ll4148.pdf","Diode_SMD:D_MiniMELF","2","","100V 0.15A standard switching diode, MiniMELF"
"F1","Fuse_Mini_10A","","Fuse:Fuseholder_Blade_Mini_Keystone_3568","1","","Fuse_Mini_10A"
"J1","socket LAN8720a","","Connector_PinSocket_2.54mm:PinSocket_2x07_P2.54mm_Horizontal","1","",""
"J2","POWER 24V","","Connector_Phoenix_MC_HighVoltage:PhoenixContact_MC_1,5_2-G-5.08_1x02_P5.08mm_Horizontal","1","",""
"J3","CAN_bus","","Connector_Phoenix_MC:PhoenixContact_MC_1,5_3-G-3.5_1x03_P3.50mm_Horizontal","1","",""
"J4","ENCODER","","Connector_Phoenix_MC:PhoenixContact_MC_1,5_2-G-3.5_1x02_P3.50mm_Horizontal","1","",""
"J5","ENCODER_POWER","","Connector_Phoenix_MC:PhoenixContact_MC_1,5_3-G-3.5_1x03_P3.50mm_Horizontal","1","",""
"J6","CONN_RS232","","Connector_Phoenix_MC:PhoenixContact_MC_1,5_3-G-3.5_1x03_P3.50mm_Horizontal","1","",""
"J7","M1 LIMIT UP DOWN","","Connector_Phoenix_MC:PhoenixContact_MC_1,5_4-G-3.5_1x04_P3.50mm_Horizontal","1","",""
"J8","Signal PWR","","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","1","","Generic connector, single row, 01x03, script generated"
"J9","MOTOR_OUT","","Connector_Phoenix_MC:PhoenixContact_MC_1,5_2-G-3.5_1x02_P3.50mm_Horizontal","1","",""
"J10","CONN_IR_OUT","","Connector_Phoenix_MC:PhoenixContact_MC_1,5_2-G-3.5_1x02_P3.50mm_Horizontal","1","",""
"J11","DRY CONTACT UP DOWN","","Connector_Phoenix_MC:PhoenixContact_MC_1,5_3-G-3.5_1x03_P3.50mm_Horizontal","1","",""
"J12","DRY CONTACT","","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","1","","Generic connector, single row, 01x03, script generated"
"JP1","CAN_Jumper","","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","1","",""
"JP2","FIRMWARE_Jumper","","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","1","",""
"L1","68 uH","","Inductor_SMD:L_Bourns_SRR1260","1","",""
"LED1","LED_GREEN_F3","","LED_THT:LED_D3.0mm_Horizontal_O1.27mm_Z2.0mm","1","","LED_GREEN_F3_POWER"
"LED2","LED_RED_F3","","LED_THT:LED_D3.0mm_Horizontal_O1.27mm_Z6.0mm","1","","LED_RED_F3_ERROR1"
"LED3","LED_Dual_Bidirectional_GREEN_BLUE","","LED_THT:LED_D3.0mm_Horizontal_O1.27mm_Z6.0mm","1","","LED_Dual_Bidirectional_GREEN_BLUE"
"Q1","2N3904","https://www.onsemi.com/pub/Collateral/2N3903-D.PDF","Package_TO_SOT_THT:TO-92_Inline","1","","0.2A Ic, 40V Vce, Small Signal NPN Transistor, TO-92"
"R1,R4,R6,R7,R11,R12,R13,R17,R18,R24,R25,R27","10k","","Resistor_SMD:R_0805_2012Metric","12","",""
"R2,R9,R10,R15,R16","100","","Resistor_SMD:R_0805_2012Metric","5","",""
"R3","120","","Resistor_SMD:R_0805_2012Metric","1","",""
"R5","2.2k","","Resistor_SMD:R_0805_2012Metric","1","",""
"R8,R14,R19,R26","470","","Resistor_SMD:R_0805_2012Metric","4","",""
"R20","2.4k","","Resistor_THT:R_Axial_DIN0411_L9.9mm_D3.6mm_P12.70mm_Horizontal","1","","resistor power 0.5-1 W"
"R21,R23","1k","","Resistor_SMD:R_0805_2012Metric","2","",""
"R22","47","","Resistor_SMD:R_1206_3216Metric","1","",""
"SW1","UP","","Button_Switch_THT:SW_PUSH_6mm","1","","Push button switch, generic, two pins"
"SW2","DOWN","","Button_Switch_THT:SW_PUSH_6mm","1","","Push button switch, generic, two pins"
"SW3","STOP","","Button_Switch_THT:SW_PUSH_6mm","1","","Push button switch, generic, two pins"
"SW4","Reset","","Button_Switch_THT:SW_PUSH_6mm","1","","Push button switch, generic, two pins"
"TP1","+24V","","TestPoint:TestPoint_Pad_D2.0mm","1","","test point"
"TP2","+5V","","TestPoint:TestPoint_Pad_D2.0mm","1","","test point"
"TP3","+3V","","TestPoint:TestPoint_Pad_D2.0mm","1","","test point"
"U1","MAX3232","https://datasheets.maximintegrated.com/en/ds/MAX3222-MAX3241.pdf","Package_SO:SOIC-16_3.9x9.9mm_P1.27mm","1","",""
"U2","TSOP32S40F","http://www.vishay.com/docs/82669/tsop32s40f.pdf","OptoDevice:Vishay_MOLD-3Pin","1","",""
"U3","SN65HVD230","http://www.ti.com/lit/ds/symlink/sn65hvd230.pdf","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","1","",""
"U4","ESP32-WROOM-32","https://www.espressif.com/sites/default/files/documentation/esp32-wroom-32_datasheet_en.pdf","RF_Module:ESP32-WROOM-32","1","",""
"U5","LM2596S-5","http://www.ti.com/lit/ds/symlink/lm2596.pdf","Package_TO_SOT_SMD:TO-263-5_TabPin3","1","",""
"U6","AMS1117-3.3","http://www.advanced-monolithic.com/pdf/ds1117.pdf","Package_TO_SOT_SMD:SOT-223-3_TabPin2","1","",""
"U7,U8","PC817","http://www.soselectronic.cz/a_info/resource/d/pc817.pdf","Package_DIP:DIP-4_W7.62mm","2","",""
"U9","NCS1S1205SC","https://power.murata.com/data/power/ncl/kdc_ncs1.pdf","Converter_DCDC:Converter_DCDC_Murata_NCS1SxxxxSC_THT","1","",""
"U10","VNH5019A-E","https://www.st.com/resource/en/datasheet/vnh5019a-e.pdf","Package_SO:ST_MultiPowerSO-30","1","",""
