"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet","Sim.Pins","Sim.Device","Описание","#"
"C1,C2,C3,C4,C5,C7,C9,C11,C13,C14,C16,C17,C21,C23,C26","15","100 nF 50V","","","","Capacitor_SMD:C_0805_2012Metric","","","","C49678","1"
"C6,C25","2","C7171","","","","Capacitor_Tantalum_SMD:CP_EIA-3216-18_Kemet-A","","","","10 uF 16V","2"
"C8","1","C46550473","","","","Capacitor_SMD:CP_Elec_10x10","","","","220 uF 50V Low ESR","3"
"C10","1","C19702","","","","Capacitor_SMD:C_0603_1608Metric","","","","10 uF 10V","4"
"C12","1","C25503905","","","","Capacitor_SMD:CP_Elec_6.3x7.7","","","","220 uF 16V","5"
"C15,C22","2","C16133","","","","Capacitor_Tantalum_SMD:CP_EIA-3528-21_Kemet-B_HandSolder","","","","100 uF 6,3V","6"
"C18,C19,C24","3","1 nF 50V","","","","Capacitor_SMD:C_0805_2012Metric","","","","","7"
"C20","1","1000 uF 50V","","","","Capacitor_THT:CP_Radial_D8.0mm_P3.50mm","","","","","8"
"D1","1","20SQ045","","","","Diode_THT:D_DO-201AD_P15.24mm_Horizontal","http://www.vishay.com/docs/88526/1n5820.pdf","","","","9"
"D3","1","SMCJ26A","","","","Diode_SMD:D_SMC","https://www.vishay.com/docs/88303/15smc.pdf","","","1500W unidirectional TVS diode, SMC (DO-201AB)","10"
"D4,D5","2","LL4148","","","","Diode_SMD:D_MiniMELF","http://www.vishay.com/docs/85557/ll4148.pdf","1=K 2=A","D","100V 0.15A standard switching diode, MiniMELF","11"
"D6","1","KT-0805W","","","","LED_SMD:LED_0805_2012Metric","","1=K 2=A","","Light emitting diod white","12"
"D7","1","KT-0805G","","","","LED_SMD:LED_0805_2012Metric","","1=K 2=A","","Light emitting diode green","13"
"D8","1","SS34","","","","Diode_SMD:D_SMA","https://www.vishay.com/docs/88751/ss32.pdf","","","40V 3A Schottky Diode, SMA","14"
"F1","1","C5249699","","","","Fuse:Fuseholder_Blade_Mini_Keystone_3568","","","","Fuse_Mini_10A","15"
"J1","1","C54620381","","","","Connector_PinSocket_2.54mm:PinSocket_2x07_P2.54mm_Vertical","","","","C54620381","16"
"J2","1","1836189","","","","Connector_Phoenix_MC_HighVoltage:PhoenixContact_MC_1,5_2-G-5.08_1x02_P5.08mm_Horizontal","1836189","","","POWER 24V","17"
"J3,J5,J6,J11","4","1844223","","","","Connector_Phoenix_MC:PhoenixContact_MC_1,5_3-G-3.5_1x03_P3.50mm_Horizontal","","","","CAN_BUS,CONN_RS232,DRY CONTACT UP DOWN,ENCODER_POWER","18"
