Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C11, C13, C14, C16, C17, C2, C21, C23, C26, C3, C4, C5, C7, C9",0805,15,100 nF 50V,
C10,0603,1,C19702,
C12,CP_Elec_6.3x7.7,1,C25503905,
"C15, C22",CP_EIA-3528-21_Kemet-B_HandSolder,2,C16133,
"C18, C19, C24",0805,3,1 nF 50V,
C20,CP_Radial_D8.0mm_P3.50mm,1,1000 uF 50V,
"C25, C6",CP_EIA-3216-18_Kemet-A,2,C7171,
C8,CP_Elec_10x10,1,C46550473,
D1,D_DO-201AD_P15.24mm_Horizontal,1,20SQ045,
D3,D_SMC,1,SMCJ26A,
"D4, D5",D_MiniMELF,2,LL4148,
D6,0805,1,KT-0805W,
D7,0805,1,KT-0805G,
D8,D_SMA,1,SS34,
F1,Fuseholder_Blade_Mini_Keystone_3568,1,C5249699,
J1,PinSocket_2x07_P2.54mm_Vertical,1,C54620381,
"J10, J4, J9","PhoenixContact_MC_1,5_2-G-3.5_1x02_P3.50mm_Horizontal",3,1844210,
"J11, J3, J5, J6","PhoenixContact_MC_1,5_3-G-3.5_1x03_P3.50mm_Horizontal",4,1844223,
"J12, J8",PinHeader_1x03_P2.54mm_Vertical,2,C5360899,
J2,"PhoenixContact_MC_1,5_2-G-5.08_1x02_P5.08mm_Horizontal",1,1836189,
J7,"PhoenixContact_MC_1,5_4-G-3.5_1x04_P3.50mm_Horizontal",1,1844236,
L1,L_APV_ANR6045,1,C55109499,
LED1,0805,1,KT-0805Y,
LED2,0805,1,NCD0805R1,
Q2,SOT-23,1,C105432,
"R1, R11, R12, R13, R17, R18, R25, R27, R28, R4, R6, R7",0805,12,10k,
"R10, R15, R16, R2, R9",0805,5,100,
"R14, R19, R26, R8",0805,4,470,
R20,1206,1,C17936,
"R21, R23",0805,2,1k,
R22,1206,1,47,
R3,0805,1,120,
R5,0805,1,2.2k,
"SW1, SW2, SW3, SW4",SW_Push_1P1T_XKB_TS-1187A,4,TS-1187A-BAB,
U1,SOIC-16_3.9x9.9mm_P1.27mm,1,MAX3232,
U10,ST_MultiPowerSO-30,1,VNH5019ATR-E,
U2,Vishay_MOLD-3Pin,1,C145345,
U3,SOIC-8_3.9x4.9mm_P1.27mm,1,SN65HVD230,
U4,ESP32-WROOM-32,1,ESP32-WROOM-32,
U5,TO-263-5_TabPin3,1,LM2596S-5,
U6,SOT-223-3_TabPin2,1,AMS1117-3.3,
"U7, U8",DIP-4_W7.62mm,2,PC817,
U9,Converter_DCDC_RECOM_R-78S-0.1_THT,1,b0505s-1we,
