Designator,Mid X,Mid Y,Rotation,Layer
C1,104.989271,-112.353453,270.0,top
C10,125.0,-163.5,180.0,top
C11,110.0,-171.5,0.0,top
C12,96.0,-66.5,270.0,top
C13,103.5,-67.45,90.0,top
C14,80.5,-161.0,180.0,top
C15,115.5,-75.0,90.0,top
C16,116.5,-65.5,90.0,top
C17,100.176147,-151.45,90.0,top
C18,109.978775,-166.5,180.0,top
C19,109.979329,-168.566108,0.0,top
C2,117.5,-111.5,90.0,top
C20,96.5,-32.902651,90.0,top
C21,102.5,-35.5,0.0,top
C22,111.0,-75.0,90.0,top
C23,109.953144,-161.5,0.0,top
C24,109.05,-159.5,180.0,top
C25,110.648511,-173.835258,180.0,top
C26,109.966713,-164.465441,0.0,top
C3,104.952581,-116.146895,270.0,top
C4,109.5,-109.0,0.0,top
C5,105.0,-121.0,270.0,top
C6,115.0,-168.5,270.0,top
C7,90.5,-116.5,270.0,top
C8,82.0,-67.5,0.0,top
C9,83.268844,-74.5,180.0,top
D1,82.5,-35.5,180.0,top
D3,79.5,-44.5,270.0,top
D4,90.0,-108.5,90.0,top
D5,90.0,-102.5,90.0,top
D6,131.0625,-35.0,180.0,top
D7,131.0625,-38.0,0.0,top
D8,71.0,-91.5,270.0,top
F1,69.2,-40.96,90.0,top
H1,69.0,-28.975,0.0,top
H2,131.975,-179.975,0.0,top
H3,132.0,-28.975,0.0,top
H4,68.525,-179.5,0.0,top
J1,68.645,-138.53,180.0,top
J10,126.969797,-157.036555,90.0,top
J11,127.0,-101.5,90.0,top
J12,120.5,-101.54,0.0,top
J2,74.016638,-55.579798,270.0,top
J3,74.0,-113.0,270.0,top
J4,127.0,-71.0,90.0,top
J5,127.0,-58.5,90.0,top
J6,127.0675,-116.445,90.0,top
J7,126.9325,-85.305,90.0,top
J8,103.444112,-91.862234,90.0,top
J9,127.0,-46.0,90.0,top
JP3,83.5,-107.04,0.0,top
JP4,79.0,-155.04,0.0,top
L1,71.0,-73.0,90.0,top
LED1,70.0,-98.5,0.0,top
LED2,131.5,-172.5,90.0,top
NT2,92.7,-78.0,180.0,top
Q2,121.5,-155.5,180.0,top
R1,117.642147,-169.0,270.0,top
R10,121.151585,-83.486097,0.0,top
R11,121.151585,-79.986097,0.0,top
R12,121.151585,-86.986097,0.0,top
R13,109.049256,-154.836812,180.0,top
R14,125.0,-171.5,0.0,top
R15,121.0875,-67.0,0.0,top
R16,121.0875,-75.5,0.0,top
R17,121.0875,-72.666667,0.0,top
R18,121.0875,-69.833333,0.0,top
R19,110.5,-92.0,0.0,top
R2,125.0,-166.0,0.0,top
R20,126.5,-36.0,90.0,top
R21,117.5,-153.5,90.0,top
R22,121.621403,-159.128873,0.0,top
R23,91.5,-112.5,180.0,top
R25,87.0,-120.5,90.0,top
R26,109.049009,-157.169815,180.0,top
R27,116.5,-161.5875,270.0,top
R28,92.0,-120.5,90.0,top
R3,79.0,-109.5,0.0,top
R4,125.0,-168.5,0.0,top
R5,83.5,-155.5,0.0,top
R6,104.0,-99.0875,90.0,top
R7,103.97207,-104.207204,270.0,top
R8,74.5875,-98.5,180.0,top
R9,121.151585,-90.486097,0.0,top
SW1,97.5,-105.0,0.0,top
SW2,97.5,-98.0,0.0,top
SW3,97.507595,-112.143946,180.0,top
SW4,71.0,-170.5,180.0,top
TP1,86.5,-45.0,0.0,top
TP2,94.5,-88.0,0.0,top
TP3,107.5,-76.0,0.0,top
TP4,97.0,-78.5,0.0,top
TP5,79.501514,-58.129203,0.0,top
U1,111.525,-115.825,270.0,top
U10,103.45,-47.665,0.0,top
U2,131.334467,-165.950936,90.0,top
U3,84.5,-114.5,90.0,top
U4,95.82,-165.565,180.0,top
U5,81.15,-88.775,270.0,top
U6,110.0,-66.5,180.0,top
U7,111.49,-103.73,180.0,top
U8,111.49,-97.005,180.0,top
U9,105.69,-86.0,0.0,top
