controller_Tv_Lift
Reference,Qty,Value,DNP,Exclude from BOM,Exclude from Board,Datasheet,Описание,Описание
"C1,C2,C3,C4,C5,C7,C11,C13,C14,C17,C22,C23",12,0.1 uF 16V,,,,Capacitor_SMD:C_0805_2012Metric,,
C6,1,10 uF 16V,,,,Capacitor_THT:CP_Radial_D5.0mm_P2.00mm,,
C8,1,220 uF 50V Low ESR,,,,Capacitor_THT:CP_Radial_D6.3mm_P2.50mm,,220 uF 50V Low ESR
"C9,C21",2,0.1 uF 50V,,,,Capacitor_SMD:C_0805_2012Metric,,
C10,1,10 uF 10V,,,,Capacitor_THT:CP_Radial_D5.0mm_P2.00mm,,
C12,1,150 uF 16V,,,,Capacitor_THT:CP_Radial_D6.3mm_P2.50mm,,
C15,1,150 uF 10V,,,,Capacitor_THT:CP_Radial_D5.0mm_P2.00mm,,
C16,1,0.1 uF 10V,,,,Capacitor_SMD:C_0805_2012Metric,,
"C18,C19",2,1 nF 16V,,,,Capacitor_SMD:C_0805_2012Metric,,
C20,1,1000 uF 50V,,,,Capacitor_THT:CP_Radial_D8.0mm_P3.50mm,,
D1,1,20SQ045,,,,Diode_THT:D_DO-201AD_P15.24mm_Horizontal,http://www.vishay.com/docs/88526/1n5820.pdf,"Schottky Barrier Diode, 20A, 45V, Low Forward Voltage, Through-Hole (THT), Case DO-201AD / P600 (P=15.24mm Horizontal). STRICT MATCH REQUIRED!"
D2,1,1N5819,,,,Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal,http://www.vishay.com/docs/88525/1n5817.pdf,
D3,1,SMCJ26A,,,,Diode_SMD:D_SMC,https://www.vishay.com/docs/88303/15smc.pdf,"TVS Diode 26V (or 28V) 1500W Unidirectional, SMD Case SMC (DO-214AB)"
"D4,D5",2,LL4148,,,,Diode_SMD:D_MiniMELF,http://www.vishay.com/docs/85557/ll4148.pdf,"100V 0.15A standard switching diode, MiniMELF"
F1,1,Fuse_Mini_10A,,,,Fuse:Fuseholder_Blade_Mini_Keystone_3568,,"PCB Fuse Clip/Holder for Automotive MINI Blade Fuse (ATM/APM standard), Through-Hole THT, Phosphor Bronze Tin Plated, Max 15A. DO NOT install fuse wire, holder clips only!"
J1,1,socket LAN8720a,,,,Connector_PinSocket_2.54mm:PinSocket_2x07_P2.54mm_Horizontal,,"2.54mm Pitch Female Header, Dual Row, Right-Angle (Horizontal), 2x7 Pin, PLASTIC ELEVATED HEIGHT (SPACER): 3.5mm, Total Pin Length 11.5mm, Gold Plated. STRICT MATCH REQUIRED!"
J2,1,POWER 24V,,,,"Connector_Phoenix_MC_HighVoltage:PhoenixContact_MC_1,5_2-G-5.08_1x02_P5.08mm_Horizontal",,
J3,1,CAN_bus,,,,"Connector_Phoenix_MC:PhoenixContact_MC_1,5_3-G-3.5_1x03_P3.50mm_Horizontal",,
J4,1,ENCODER,,,,"Connector_Phoenix_MC:PhoenixContact_MC_1,5_2-G-3.5_1x02_P3.50mm_Horizontal",,
J5,1,ENCODER_POWER,,,,"Connector_Phoenix_MC:PhoenixContact_MC_1,5_3-G-3.5_1x03_P3.50mm_Horizontal",,
J6,1,CONN_RS232,,,,"Connector_Phoenix_MC:PhoenixContact_MC_1,5_3-G-3.5_1x03_P3.50mm_Horizontal",,
J7,1,M1 LIMIT UP DOWN,,,,"Connector_Phoenix_MC:PhoenixContact_MC_1,5_4-G-3.5_1x04_P3.50mm_Horizontal",,
J8,1,Signal PWR,,,,Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical,,"Generic connector, single row, 01x03, script generated"
