Ref,Val,Package,PosX,PosY,Rot,Side
"C1","0.1 uF 16V","C_0805_2012Metric",104.989271,-112.353453,-90.000000,top
"C2","0.1 uF 16V","C_0805_2012Metric",117.500000,-111.500000,90.000000,top
"C3","0.1 uF 16V","C_0805_2012Metric",104.952581,-116.146895,-90.000000,top
"C4","0.1 uF 16V","C_0805_2012Metric",109.500000,-109.000000,0.000000,top
"C5","0.1 uF 16V","C_0805_2012Metric",105.000000,-121.000000,-90.000000,top
"C6","10 uF 16V","CP_Radial_D5.0mm_P2.00mm",115.000000,-167.000000,0.000000,top
"C7","0.1 uF 16V","C_0805_2012Metric",91.000000,-114.500000,90.000000,top
"C8","220 uF 50V Low ESR","CP_Radial_D6.3mm_P2.50mm",86.682380,-70.500000,180.000000,top
"C9","0.1 uF 50V","C_0805_2012Metric",83.268844,-75.116737,180.000000,top
"C10","10 uF 10V","CP_Radial_D5.0mm_P2.00mm",121.804365,-166.000000,-90.000000,top
"C11","0.1 uF 16V","C_0805_2012Metric",109.000000,-172.500000,0.000000,top
"C12","150 uF 16V","CP_Radial_D6.3mm_P2.50mm",94.682380,-71.500000,180.000000,top
"C13","0.1 uF 16V","C_0805_2012Metric",98.807777,-70.500000,90.000000,top
"C14","0.1 uF 16V","C_0805_2012Metric",113.000000,-161.500000,0.000000,top
"C15","150 uF 10V","CP_Radial_D5.0mm_P2.00mm",115.000000,-66.955113,90.000000,top
"C16","0.1 uF 10V","C_0805_2012Metric",112.189758,-71.137020,-90.000000,top
"C17","0.1 uF 16V","C_0805_2012Metric",113.000000,-159.000000,0.000000,top
"C18","1 nF 16V","C_0805_2012Metric",109.000000,-167.000000,180.000000,top
"C19","1 nF 16V","C_0805_2012Metric",109.000000,-169.500000,0.000000,top
"C20","1000 uF 50V","CP_Radial_D8.0mm_P3.50mm",96.500000,-34.652651,90.000000,top
"C21","0.1 uF 50V","C_0805_2012Metric",102.500000,-35.500000,0.000000,top
"C22","0.1 uF 16V","C_0805_2012Metric",100.238227,-151.550000,-90.000000,top
"C23","0.1 uF 16V","C_0805_2012Metric",106.500000,-152.450000,-90.000000,top
"D1","20SQ045","D_DO-201AD_P15.24mm_Horizontal",90.120000,-35.500000,180.000000,top
"D2","1N5819","D_DO-41_SOD81_P10.16mm_Horizontal",71.000000,-83.420000,-90.000000,top
"D3","SMCJ26A","D_SMC",79.500000,-44.500000,-90.000000,top
"D4","LL4148","D_MiniMELF",90.000000,-108.500000,90.000000,top
"D5","LL4148","D_MiniMELF",87.000000,-108.500000,90.000000,top
"F1","Fuse_Mini_10A","Fuseholder_Blade_Mini_Keystone_3568",67.500000,-45.920000,90.000000,top
"H1","MountingHole_Pad","MountingHole_2.7mm_M2.5_Pad_Via",69.000000,-28.975000,0.000000,top
"H2","MountingHole","MountingHole_2.7mm_M2.5_Pad_Via",132.000000,-179.500000,0.000000,top
"H3","MountingHole_Pad","MountingHole_2.7mm_M2.5_Pad_Via",132.000000,-28.975000,0.000000,top
"H4","MountingHole","MountingHole_2.7mm_M2.5_Pad_Via",68.794577,-179.470044,0.000000,top
"J1","socket LAN8720a","PinSocket_2x07_P2.54mm_Horizontal",67.375000,-146.150000,180.000000,top
"J2","POWER 24V","PhoenixContact_MC_1,5_2-G-5.08_1x02_P5.08mm_Horizontal",74.016638,-53.039798,-90.000000,top
"J3","CAN_bus","PhoenixContact_MC_1,5_3-G-3.5_1x03_P3.50mm_Horizontal",74.000000,-109.500000,-90.000000,top
"J4","ENCODER","PhoenixContact_MC_1,5_2-G-3.5_1x02_P3.50mm_Horizontal",127.000000,-72.750000,90.000000,top
"J5","ENCODER_POWER","PhoenixContact_MC_1,5_3-G-3.5_1x03_P3.50mm_Horizontal",127.000000,-62.000000,90.000000,top
"J6","CONN_RS232","PhoenixContact_MC_1,5_3-G-3.5_1x03_P3.50mm_Horizontal",127.067500,-119.945000,90.000000,top
"J7","M1 LIMIT UP DOWN","PhoenixContact_MC_1,5_4-G-3.5_1x04_P3.50mm_Horizontal",126.932500,-90.555000,90.000000,top
"J8","Signal PWR","PinHeader_1x03_P2.54mm_Vertical",100.904112,-91.862234,90.000000,top
"J9","MOTOR_OUT","PhoenixContact_MC_1,5_2-G-3.5_1x02_P3.50mm_Horizontal",127.000000,-47.750000,90.000000,top
"J10","CONN_IR_OUT","PhoenixContact_MC_1,5_2-G-3.5_1x02_P3.50mm_Horizontal",126.969797,-158.786555,90.000000,top
"J11","DRY CONTACT UP DOWN","PhoenixContact_MC_1,5_3-G-3.5_1x03_P3.50mm_Horizontal",127.000000,-105.000000,90.000000,top
"J12","DRY CONTACT","PinHeader_1x03_P2.54mm_Vertical",120.500000,-99.000000,0.000000,top
"JP1","CAN_Jumper","PinHeader_1x02_P2.54mm_Vertical",82.568317,-109.805197,180.000000,top
"JP2","FIRMWARE_Jumper","PinHeader_1x02_P2.54mm_Vertical",78.000000,-156.540000,180.000000,top
"L1","68 uH","L_Bourns_SRR1260",73.000000,-70.275000,90.000000,top
"LED1","LED_GREEN_F3","LED_D3.0mm_Horizontal_O1.27mm_Z2.0mm",72.325000,-100.250000,-90.000000,top
